,gisjoin,lat_tract,long_tract,population,adj_radiuspop_5,urbanindex,FIPS,total_pop
3481,G0501410460100,35.69404,-92.54042,3532,763.2311,6.637561,05141,16751
3486,G0501430010101,36.19762,-93.99212,4139,17019.0,9.742085,05143,223683
3518,G0501450070100,35.39537,-91.52154,4481,865.6334,6.763462,05145,78706
3531,G0501470490100,35.14266,-91.1786,3862,541.1775,6.293747,05147,6763
3533,G0501490952301,35.15603,-93.08313,3175,11141.0,9.318387,05149,21601
3539,G0600010400100,37.8676,-122.2319,2991,369958.0,12.82115,06001,1629615
3899,G0600030010000,38.59725,-119.8207,1203,235.2784,5.460769,06003,1203
3900,G0600050000101,38.46495,-120.5707,3848,1593.596,7.373748,06005,37306
3909,G0600070000102,39.75787,-121.8235,4210,98323.0,11.49601,06007,225207
3960,G0600090000120,37.97143,-120.6739,4797,880.6617,6.780674,06009,45057
3970,G0600110000100,39.00174,-122.0118,5345,441.4179,6.089992,06011,21479
3975,G0600130301000,38.0365,-121.6274,4784,11127.0,9.31713,06013,1123678
4182,G0600150000101,41.75524,-124.2032,3837,14830.0,9.604407,06015,27442
4189,G0600170030200,38.93284,-119.961,5299,25772.0,10.15704,06017,185015
4231,G0600190000100,36.73692,-119.7928,3218,303393.0,12.62278,06019,971616
4430,G0600210010100,39.74419,-122.1823,8204,7572.0,8.932213,06021,27935
4436,G0600230000100,40.80197,-124.1715,3842,40397.0,10.60651,06023,135490
4466,G0600250010101,33.19085,-115.4691,4077,1032.991,6.940214,06025,179957
4497,G0600270000100,37.3588,-118.2152,2853,690.1456,6.536902,06027,18195
4503,G0600290000101,35.44118,-119.0512,13188,89643.0,11.40359,06029,878744
4654,G0600310000100,36.39662,-119.5963,2973,23066.0,10.04611,06031,150183
4681,G0600330000100,39.33344,-122.91,3407,774.7111,6.65249,06033,64095
4696,G0600350040100,40.86393,-120.5936,1424,112.923,4.726706,06035,31470
4705,G0600370101110,34.25947,-118.293,4566,139471.0,11.84561,06037,10100381
7030,G0600390000102,37.39026,-119.3784,3995,554.381,6.317852,06039,154440
7053,G0600410101100,38.13322,-122.5402,2689,42763.0,10.66343,06041,260814
7108,G0600430000101,37.55442,-120.1126,3891,839.3513,6.732629,06043,17658
7114,G0600450010100,39.75848,-123.15,2521,130.6723,4.872692,06045,87497
7134,G0600470000201,37.45959,-120.7133,3603,27298.0,10.21457,06047,267390
7183,G0600490000100,41.50293,-120.5515,3516,622.9224,6.434422,06049,9017
7187,G0600510000101,37.7038,-118.58,3497,149.1438,5.00491,06051,14058
7190,G0600530000101,36.73468,-121.6229,2246,154066.0,11.94514,06053,433168
7283,G0600550200201,38.29182,-122.2979,3290,84899.0,11.34922,06055,141005
7323,G0600570000102,39.12483,-121.0509,6894,23033.0,10.04468,06057,98838
7343,G0600590001101,33.94276,-117.9631,4841,396636.0,12.89077,06059,3155816
7925,G0600610020104,39.20016,-120.1388,979,4733.0,8.462315,06061,374985
8009,G0600630000100,39.93504,-120.9341,5503,1302.605,7.172121,06063,18724
8016,G0600650030101,33.99711,-117.352,1255,201237.0,12.21224,06065,2354851
8468,G0600670000100,38.57761,-121.4313,3798,400308.0,12.89999,06067,1503149
8785,G0600690000100,36.90235,-121.357,4800,26585.0,10.1881,06069,58671
8796,G0600710000103,34.01557,-117.7524,4688,321242.0,12.67995,06071,2121220
9164,G0600730000100,32.75301,-117.1859,2863,462653.0,13.04473,06073,3283665
9790,G0600750010100,37.80698,-122.4113,3967,549336.0,13.21647,06075,864263
9985,G0600770000100,37.954,-121.2849,3985,247237.0,12.4181,06077,724153
10124,G0600790010002,35.72387,-120.94,4425,688.825,6.534987,06079,280119
10177,G0600810600100,37.68736,-122.412,5445,558013.0,13.23214,06081,763450
10333,G0600830000101,34.44632,-119.7788,6585,129004.0,11.7676,06083,442996
10421,G0600850500100,37.35855,-121.8927,7987,607251.0,13.3167,06085,1911226
10793,G0600870100100,36.99579,-121.999,2194,138482.0,11.8385,06087,273263
10845,G0600890010100,40.58269,-122.3904,1494,94388.0,11.45517,06089,178919
10893,G0600910010000,39.5804,-120.516,2885,379.9552,5.940053,06091,2885
10894,G0600930000100,41.78957,-121.6224,1202,257.3618,5.550483,06093,43530
10908,G0600950250103,38.11658,-122.2219,5027,154947.0,11.95084,06095,434981
11003,G0600970150100,38.21635,-122.4309,2510,11790.0,9.375007,06097,500943
11102,G0600990000101,37.88668,-120.8302,4597,1074.777,6.979869,06099,535684
11196,G0601010050101,39.15814,-121.622,6791,91449.0,11.42354,06101,95583
11217,G0601030000100,40.21416,-121.8004,4478,208.6854,5.340827,06103,63247
11228,G0601050000101,40.85062,-122.738,2427,496.4563,6.207496,06105,13037
11233,G0601070000100,36.51989,-118.8247,4853,265.9703,5.583385,06107,458809
11311,G0601090001100,37.99098,-120.3985,3824,14677.0,9.594037,06109,53899
11322,G0601110000100,34.63877,-119.1445,557,568.9699,6.343828,06111,843210
11495,G0601130010101,38.59222,-121.5169,7142,259411.0,12.46617,06113,204856
11536,G0601150040100,39.15079,-121.5962,4603,101715.0,11.52993,06115,74644
11550,G0800010007801,39.742,-104.8752,4412,423039.0,12.95522,08001,487850
11646,G0800030960000,37.61284,-105.7414,1637,558.7096,6.32563,08003,16345
11650,G0800050004951,39.69822,-104.9306,2268,504148.0,13.13062,08005,635148
11797,G0800070940400,37.10646,-107.2384,1260,678.9039,6.52048,08007,12592
11801,G0800090964600,37.29009,-102.5475,1577,668.9055,6.505643,08009,3581
11803,G0800110966700,37.95509,-103.0717,5806,114.7549,4.742799,08011,5806
11804,G0800130012101,40.02969,-105.2896,4685,103850.0,11.5507,08013,316782
11872,G0800140030000,39.9189,-105.0806,3725,196115.0,12.18646,08014,59628
11883,G0800140031100,39.91158,-105.1302,4655,132425.0,11.79377,08059,568684
11887,G0800150000100,38.53883,-105.995,2824,7185.0,8.879751,08015,18818
11892,G0800170960600,38.82794,-102.6034,2127,93.7272,4.540389,08017,2127
11893,G0800190014700,39.6751,-105.5345,4935,2306.901,7.74366,08019,9257
11896,G0800210974800,37.09556,-105.9108,4038,170.8737,5.140925,08021,8147
11898,G0800230972600,37.42544,-105.3922,2020,181.3257,5.200294,08023,3628
11900,G0800250969600,38.32666,-103.7848,5514,254.571,5.53958,08025,5514
11901,G0800270970100,38.10868,-105.3675,4505,199.7988,5.297311,08027,4505
11902,G0800290964600,38.98116,-107.5928,3567,412.3109,6.021778,08029,30217
11909,G0800310000102,39.78027,-105.0395,3456,387778.0,12.86819,08031,669931
12052,G0800330000100,37.7516,-108.5172,1736,255.1761,5.541954,08033,1736
12053,G0800350013901,39.54444,-104.7153,7698,81327.0,11.30623,08035,320940
12114,G0800370000100,39.8087,-106.7975,1597,398.9092,5.988734,08037,53726
12128,G0800390961100,39.24443,-103.9538,2119,186.1025,5.226297,08039,24553
12135,G0800410000101,38.87838,-104.7739,6094,297957.0,12.6047,08041,674826
12265,G0800430978100,38.52167,-105.0223,3732,1207.003,7.095896,08043,46601
12279,G0800450951600,39.82516,-107.2451,3656,205.4335,5.325122,08045,57945
12290,G0800470013800,39.85756,-105.5225,5793,1566.217,7.356419,08047,5793
12291,G0800490000100,40.09123,-106.2998,2978,152.1993,5.025191,08049,14793
12294,G0800510963600,38.6661,-106.716,4040,373.9994,5.924254,08051,16215
12298,G0800530973100,37.82134,-107.3003,820,171.7702,5.146158,08053,820
12299,G0800550960600,37.64081,-104.7637,3196,568.1448,6.342376,08055,6498
12301,G0800570955600,40.66643,-106.3428,1372,133.0731,4.890899,08057,1372
12439,G0800610960100,38.43268,-102.7404,1368,220.9062,5.397738,08061,1368
12440,G0800630962100,39.309,-102.238,5468,216.256,5.376462,08063,7846
12443,G0800650961700,39.23675,-106.3181,5173,5309.0,8.577159,08065,7481
12445,G0800670940300,37.10805,-107.6069,6073,253.8391,5.5367,08067,54469
12455,G0800690000100,40.58585,-105.0763,2562,140698.0,11.85437,08069,330976
12528,G0800710000100,37.31339,-104.7265,3187,347.4302,5.850564,08071,14151
12534,G0800730961700,39.34658,-103.6023,3700,186.1025,5.226297,08073,5520
12536,G0800750965900,40.91609,-103.1045,1418,290.0487,5.670049,08075,21885
12542,G0800770000200,39.0709,-108.5567,2106,88524.0,11.39103,08077,148798
12571,G0800790973600,37.66899,-106.9241,834,140.6854,4.946526,08079,834
12572,G0800810000300,40.5251,-107.5289,2868,11868.0,9.381601,08081,13056
12576,G0800830941100,37.13403,-108.7082,1541,313.2172,5.746897,08083,25770
12583,G0800850966100,38.30298,-108.604,2203,196.6407,5.281378,08085,40908
12593,G0800870000100,40.41656,-103.8076,2862,661.3195,6.494237,08087,28123
12601,G0800890968000,38.11656,-104.0124,1556,274.0971,5.613482,08089,18325
12608,G0800910967600,38.1555,-107.7693,4653,259.1626,5.557456,08091,4653
12609,G0800930000100,39.50346,-105.5935,6243,788.9202,6.670665,08093,16900
12614,G0800950967600,40.59233,-102.2203,3010,291.6028,5.675393,08095,4327
12616,G0800970000100,39.23399,-107.1316,7583,612.5204,6.417582,08097,17747
12620,G0800990000100,38.18524,-102.6135,1380,2020.519,7.61111,08099,12084
12625,G0801010000100,38.30407,-104.6336,2675,89818.0,11.40554,08101,163368
